"Entity","Code","Year","Share.of.youth.not.in.education..employment.or.training..total....of.youth.population.","pop_15_24","Continent"
"Afghanistan","AFG",2014,35.06,6914571,"Asia"
"Afghanistan","AFG",2017,42.84,7704034,"Asia"
"Afghanistan","AFG",2020,53.76,8444268,"Asia"
"Afghanistan","AFG",2021,62.81,8621571,"Asia"
"Albania","ALB",2002,41.8,548992,"Europe"
"Albania","ALB",2005,35.19,546133,"Europe"
"Albania","ALB",2007,33.77,541699,"Europe"
"Albania","ALB",2008,28.17,538437,"Europe"
"Albania","ALB",2009,30.73,535610,"Europe"
"Albania","ALB",2010,29.72,533728,"Europe"
"Albania","ALB",2011,30.01,534009,"Europe"
"Albania","ALB",2012,27.65,533946,"Europe"
"Albania","ALB",2013,30.98,529563,"Europe"
"Albania","ALB",2014,31.39,521255,"Europe"
"Albania","ALB",2015,29.82,510350,"Europe"
"Albania","ALB",2016,27.39,498405,"Europe"
"Albania","ALB",2017,26.23,483744,"Europe"
"Albania","ALB",2018,26.61,466192,"Europe"
"Albania","ALB",2019,25.82,446792,"Europe"
"Algeria","DZA",2009,25.45,7388090,"Africa"
"Algeria","DZA",2010,24.53,7289933,"Africa"
"Algeria","DZA",2011,26,7169185,"Africa"
"Algeria","DZA",2012,22.7,7028903,"Africa"
"Algeria","DZA",2013,21.5,6851537,"Africa"
"Algeria","DZA",2014,22.8,6653125,"Africa"
"Algeria","DZA",2015,21.2,6474768,"Africa"
"Algeria","DZA",2017,20.95,6184753,"Africa"
"Angola","AGO",2004,30.96,3518406,"Africa"
"Angola","AGO",2009,25.81,4268713,"Africa"
"Angola","AGO",2011,10.01,4579102,"Africa"
"Angola","AGO",2014,30.62,5054014,"Africa"
"Angola","AGO",2019,23.06,5971699,"Africa"
"Angola","AGO",2021,21.69,6430419,"Africa"
"Argentina","ARG",2004,20.98,6610228,"South America"
"Argentina","ARG",2005,19.87,6638978,"South America"
"Argentina","ARG",2006,19.51,6676566,"South America"
"Argentina","ARG",2008,19.42,6772277,"South America"
"Argentina","ARG",2009,20.04,6830247,"South America"
"Argentina","ARG",2010,19.46,6887844,"South America"
"Argentina","ARG",2011,18.4,6936689,"South America"
"Argentina","ARG",2012,18.41,6972464,"South America"
"Argentina","ARG",2013,19.07,6996864,"South America"
"Argentina","ARG",2014,19.67,7016763,"South America"
"Argentina","ARG",2017,19.25,7019766,"South America"
"Argentina","ARG",2018,19.02,7002858,"South America"
"Argentina","ARG",2019,19.23,6981049,"South America"
"Argentina","ARG",2020,22.33,6965105,"South America"
"Argentina","ARG",2021,16.12,6960614,"South America"
"Armenia","ARM",2009,40.52,564481,"Asia"
"Armenia","ARM",2011,44.6,519176,"Asia"
"Armenia","ARM",2012,36.77,497268,"Asia"
"Armenia","ARM",2013,44.37,474142,"Asia"
"Armenia","ARM",2014,38.03,449437,"Asia"
"Armenia","ARM",2015,35.56,422384,"Asia"
"Armenia","ARM",2016,36.58,394708,"Asia"
"Armenia","ARM",2017,36.59,371312,"Asia"
"Armenia","ARM",2018,29.52,355563,"Asia"
"Armenia","ARM",2019,26.04,345999,"Asia"
"Armenia","ARM",2020,26.08,339160,"Asia"
"Armenia","ARM",2021,23.49,334235,"Asia"
"Aruba","ABW",2010,16.56,12744,"North America"
"Australia","AUS",2009,11.4,3049601,"Oceania"
"Australia","AUS",2010,11.32,3077545,"Oceania"
"Australia","AUS",2011,10.59,3088899,"Oceania"
"Australia","AUS",2012,9.91,3106470,"Oceania"
"Australia","AUS",2013,11.02,3128826,"Oceania"
"Australia","AUS",2014,10.09,3148030,"Oceania"
"Australia","AUS",2015,9.8,3165680,"Oceania"
"Australia","AUS",2016,8.69,3189684,"Oceania"
"Australia","AUS",2017,8.94,3218862,"Oceania"
"Austria","AUT",2004,9.64,1002204,"Europe"
"Austria","AUT",2005,11.84,1014198,"Europe"
"Austria","AUT",2006,11.22,1018015,"Europe"
"Austria","AUT",2007,10.71,1018486,"Europe"
"Austria","AUT",2008,10.37,1020577,"Europe"
"Austria","AUT",2009,11.73,1021645,"Europe"
"Austria","AUT",2010,10.79,1019724,"Europe"
"Austria","AUT",2011,10.56,1018050,"Europe"
"Austria","AUT",2012,10.16,1018539,"Europe"
"Austria","AUT",2013,10.34,1016765,"Europe"
"Austria","AUT",2014,10.76,1012174,"Europe"
"Austria","AUT",2015,11.04,1014773,"Europe"
"Austria","AUT",2016,10.91,1013249,"Europe"
"Austria","AUT",2017,10.45,998409,"Europe"
"Austria","AUT",2018,10.42,979800,"Europe"
"Austria","AUT",2019,11.01,962699,"Europe"
"Austria","AUT",2020,11.42,948917,"Europe"
"Austria","AUT",2021,12.26,936991,"Europe"
"Azerbaijan","AZE",2009,9.4,1847631,"Asia"
"Azerbaijan","AZE",2010,9.64,1835785,"Asia"
"Bangladesh","BGD",2005,30.99,29913392,"Asia"
"Bangladesh","BGD",2006,32.26,30064482,"Asia"
"Bangladesh","BGD",2010,30.06,30264695,"Asia"
"Bangladesh","BGD",2013,32.04,30927717,"Asia"
"Bangladesh","BGD",2016,28.88,31900151,"Asia"
"Bangladesh","BGD",2017,27.39,32248408,"Asia"
"Barbados","BRB",2016,28.99,37130,"North America"
"Belarus","BLR",2009,12.08,1427314,"Europe"
"Belarus","BLR",2016,0.48,1028787,"Europe"
"Belarus","BLR",2017,0.38,986399,"Europe"
