"Entity","Code","Year","Share.of.youth.not.in.education..employment.or.training..total....of.youth.population.","Continent"
"Afghanistan","AFG",2014,35.06,"Asia"
"Afghanistan","AFG",2017,42.84,"Asia"
"Afghanistan","AFG",2020,53.76,"Asia"
"Afghanistan","AFG",2021,62.81,"Asia"
"Albania","ALB",2002,41.8,"Europe"
"Albania","ALB",2005,35.19,"Europe"
"Albania","ALB",2007,33.77,"Europe"
"Albania","ALB",2008,28.17,"Europe"
"Albania","ALB",2009,30.73,"Europe"
"Albania","ALB",2010,29.72,"Europe"
"Albania","ALB",2011,30.01,"Europe"
"Albania","ALB",2012,27.65,"Europe"
"Albania","ALB",2013,30.98,"Europe"
"Albania","ALB",2014,31.39,"Europe"
"Albania","ALB",2015,29.82,"Europe"
"Albania","ALB",2016,27.39,"Europe"
"Albania","ALB",2017,26.23,"Europe"
"Albania","ALB",2018,26.61,"Europe"
"Albania","ALB",2019,25.82,"Europe"
"Algeria","DZA",2009,25.45,"Africa"
"Algeria","DZA",2010,24.53,"Africa"
"Algeria","DZA",2011,26,"Africa"
"Algeria","DZA",2012,22.7,"Africa"
"Algeria","DZA",2013,21.5,"Africa"
"Algeria","DZA",2014,22.8,"Africa"
"Algeria","DZA",2015,21.2,"Africa"
"Algeria","DZA",2017,20.95,"Africa"
"Angola","AGO",2004,30.96,"Africa"
"Angola","AGO",2009,25.81,"Africa"
"Angola","AGO",2011,10.01,"Africa"
"Angola","AGO",2014,30.62,"Africa"
"Angola","AGO",2019,23.06,"Africa"
"Angola","AGO",2021,21.69,"Africa"
"Argentina","ARG",2004,20.98,"South America"
"Argentina","ARG",2005,19.87,"South America"
"Argentina","ARG",2006,19.51,"South America"
"Argentina","ARG",2008,19.42,"South America"
"Argentina","ARG",2009,20.04,"South America"
"Argentina","ARG",2010,19.46,"South America"
"Argentina","ARG",2011,18.4,"South America"
"Argentina","ARG",2012,18.41,"South America"
"Argentina","ARG",2013,19.07,"South America"
"Argentina","ARG",2014,19.67,"South America"
"Argentina","ARG",2017,19.25,"South America"
"Argentina","ARG",2018,19.02,"South America"
"Argentina","ARG",2019,19.23,"South America"
"Argentina","ARG",2020,22.33,"South America"
"Argentina","ARG",2021,16.12,"South America"
"Armenia","ARM",2009,40.52,"Asia"
"Armenia","ARM",2011,44.6,"Asia"
"Armenia","ARM",2012,36.77,"Asia"
"Armenia","ARM",2013,44.37,"Asia"
"Armenia","ARM",2014,38.03,"Asia"
"Armenia","ARM",2015,35.56,"Asia"
"Armenia","ARM",2016,36.58,"Asia"
"Armenia","ARM",2017,36.59,"Asia"
"Armenia","ARM",2018,29.52,"Asia"
"Armenia","ARM",2019,26.04,"Asia"
"Armenia","ARM",2020,26.08,"Asia"
"Armenia","ARM",2021,23.49,"Asia"
"Aruba","ABW",2010,16.56,"North America"
"Australia","AUS",2009,11.4,"Oceania"
"Australia","AUS",2010,11.32,"Oceania"
"Australia","AUS",2011,10.59,"Oceania"
"Australia","AUS",2012,9.91,"Oceania"
"Australia","AUS",2013,11.02,"Oceania"
"Australia","AUS",2014,10.09,"Oceania"
"Australia","AUS",2015,9.8,"Oceania"
"Australia","AUS",2016,8.69,"Oceania"
"Australia","AUS",2017,8.94,"Oceania"
"Austria","AUT",2004,9.64,"Europe"
"Austria","AUT",2005,11.84,"Europe"
"Austria","AUT",2006,11.22,"Europe"
"Austria","AUT",2007,10.71,"Europe"
"Austria","AUT",2008,10.37,"Europe"
"Austria","AUT",2009,11.73,"Europe"
"Austria","AUT",2010,10.79,"Europe"
"Austria","AUT",2011,10.56,"Europe"
"Austria","AUT",2012,10.16,"Europe"
"Austria","AUT",2013,10.34,"Europe"
"Austria","AUT",2014,10.76,"Europe"
"Austria","AUT",2015,11.04,"Europe"
"Austria","AUT",2016,10.91,"Europe"
"Austria","AUT",2017,10.45,"Europe"
"Austria","AUT",2018,10.42,"Europe"
"Austria","AUT",2019,11.01,"Europe"
"Austria","AUT",2020,11.42,"Europe"
"Austria","AUT",2021,12.26,"Europe"
"Azerbaijan","AZE",2009,9.4,"Asia"
"Azerbaijan","AZE",2010,9.64,"Asia"
"Bangladesh","BGD",2005,30.99,"Asia"
"Bangladesh","BGD",2006,32.26,"Asia"
"Bangladesh","BGD",2010,30.06,"Asia"
