"Entity","Code","Year","Share.of.youth.not.in.education..employment.or.training..total....of.youth.population.","pop_15_24"
"Afghanistan","AFG",2014,35.06,6914571
"Afghanistan","AFG",2017,42.84,7704034
"Afghanistan","AFG",2020,53.76,8444268
"Afghanistan","AFG",2021,62.81,8621571
"Albania","ALB",2002,41.8,548992
"Albania","ALB",2005,35.19,546133
"Albania","ALB",2007,33.77,541699
"Albania","ALB",2008,28.17,538437
"Albania","ALB",2009,30.73,535610
"Albania","ALB",2010,29.72,533728
"Albania","ALB",2011,30.01,534009
"Albania","ALB",2012,27.65,533946
"Albania","ALB",2013,30.98,529563
"Albania","ALB",2014,31.39,521255
"Albania","ALB",2015,29.82,510350
"Albania","ALB",2016,27.39,498405
"Albania","ALB",2017,26.23,483744
"Albania","ALB",2018,26.61,466192
"Albania","ALB",2019,25.82,446792
"Algeria","DZA",2009,25.45,7388090
"Algeria","DZA",2010,24.53,7289933
"Algeria","DZA",2011,26,7169185
"Algeria","DZA",2012,22.7,7028903
"Algeria","DZA",2013,21.5,6851537
"Algeria","DZA",2014,22.8,6653125
"Algeria","DZA",2015,21.2,6474768
"Algeria","DZA",2017,20.95,6184753
"Angola","AGO",2004,30.96,3518406
"Angola","AGO",2009,25.81,4268713
"Angola","AGO",2011,10.01,4579102
"Angola","AGO",2014,30.62,5054014
"Angola","AGO",2019,23.06,5971699
"Angola","AGO",2021,21.69,6430419
"Argentina","ARG",2004,20.98,6610228
"Argentina","ARG",2005,19.87,6638978
"Argentina","ARG",2006,19.51,6676566
"Argentina","ARG",2008,19.42,6772277
"Argentina","ARG",2009,20.04,6830247
"Argentina","ARG",2010,19.46,6887844
"Argentina","ARG",2011,18.4,6936689
"Argentina","ARG",2012,18.41,6972464
"Argentina","ARG",2013,19.07,6996864
"Argentina","ARG",2014,19.67,7016763
"Argentina","ARG",2017,19.25,7019766
"Argentina","ARG",2018,19.02,7002858
"Argentina","ARG",2019,19.23,6981049
"Argentina","ARG",2020,22.33,6965105
"Argentina","ARG",2021,16.12,6960614
